gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Klasik Masaj,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Köpük Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Shiatsu Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Sıcak Yağ Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Spor Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Taş Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Tedavi Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Piercing,Piercing Delme,Burun Kulak,ProvideService,C62,C_BAC092001-gen,Nose_piercing,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Piercing,Piercing Uygulama,Burun Dil Göbek Kulak,ProvideService,C62,C_BAC092001-gen,Nose_piercing,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Bakımı,Keratin Bakım (Brezilya Fönü),Gold Platinum,ProvideService,C62,C_AKG498003-gen,Haircutting,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Bakımı,Saç Bakım Terapisi,Hızlı-Bakım Detaylı-Bakım,ProvideService,C62,C_AKG498003-gen,Haircutting,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Balyaj,Komple-Balyaj Kısmi-Balyaj,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Dip Boya,Standart-Dip-Boya Organik-Dip-Boya ,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Gölge ,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Komple Boya,Standart-Komple-Boya Organik-Komple-Boya ,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Ombre,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Renk Değiştirme,Uzun-Saç-İçin-Boya-İle Uzun-Saç-İçin-Dekolerya-İle Kısa-Saç-İçin-Boya-İle Kısa-Saç-İçin-Dekolerya-İle,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Röfle,Uzun-Saç-İçin-Röfle Kısa-Saç-İçin-Röfle Kısmi-Röfle,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Boyama,Rütuş,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Ekleme,Boncuk Saç Kaynak,Doğal-Boncuk Renkli-Boncuk Kaynak-Sökme,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Ekleme,Keratin Saç Kaynak,Doğal-Keratin Renkli-Keratin İtalyan-Doğal-Keratin İtalyan-Renkli-Keratin Kaynak-Sökme,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Ekleme,Mikro Saç Kaynak,Mikro-Kapsül Mikro-Tube Mikro-Bant Nano Kaynak-Sökme,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Ekleme,Mikrojel Saç Kaynak,Doğal-Mikrojel Renkli-Mikrojel Kaynak-Sökme,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Ekleme,Organik Saç Kaynak,Doğal-Organik Renkli-Organik Örgü-Düğümü Brezilya-Düğümü Kaynak-Sökme,ProvideService,C62,C_AKG498003-gen,Hair_coloring,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Kesimi,Bayan Saç Kesimi,Standart-Kesim Özel-Kesim Düzeltme Kahkül Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Haircutting,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Kesimi,Çocuk Saç Kesimi,Standart-Kesim Özel-Kesim Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Haircutting,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
